1 	Range Test 
2 	Range Test 
7 	Range Test 
55001 	Fire/EMS 
55002 	TC Fire Disp 
55003 	Ithaca FD 
55004 	MED A 
55005 	MED B 
55050 	Hosp Multi 
55051 	CMC 
55052 	CRMC 
55075 	Ithaca FD/FG 
55100 	All Call 
55101 	Brooktondale 
55102 	Speedsville 
55103 	Salterville 
55150 	All Call 
55152 	West Danby 
55175 	All Call 
55177 	Etna 
55178 	Freeville 
55179 	Varna 
55180 	McClean 
55201 	Groton 
55202 	Enfield 
55203 	Newfield 
55204 	Trumansburg 
55205 	CayugaHeight 
55206 	Lansing 
55250 	EmrgAllCall 
55251 	Ithaca Clg 
55252 	Cornell U 
55253 	Bangs 
55275 	COMMON 
55276 	PRIORITY 
55300 	OPS EAC 
55301 	OPS 1 
55302 	OPS 2 
55303 	OPS 3 
55304 	OPS 4 
55305 	OPS 5 
55306 	OPS 6 
55307 	OPS 7 
55308 	OPS 8 
55309 	OPS 9 
55310 	OPS 10 
55311 	ARPTOPS 
55325 	F-P OPS 
55326 	EOC OPS 
55327 	Fire Paging 
55350 	TC All Call 
55351 	TCSO Disp 
55352 	Ithaca PD 
55375 	TC Emrg Car 
55376 	TCSO Car/Car 
55377 	Ithaca Car 
55379 	NYSP C-C 
55380 	IC PDcar/car 
55381 	CU PDcar/car 
55401 	CU PD Disp 
55402 	IC PD Disp 
55450 	All Call 
55451 	Police Ops 1 
55452 	Police Ops 2 
55475 	Special Ops 
55476 	CINT 4 
55477 	SWAT 1 
55478 	SWAT 2 
55479 	SWAT 3 
55501 	Trumansburg 
55501 	CayugaHts 
55502 	Dryden PD 
55504 	Groton 
55505 	NYSP 
55506 	ParksDept PD 
55551 	County Hall 
55552 	Airport Sec 
55600 	EmergAllCall 
55601 	HWY Central 
55602 	HWY East 
55603 	HWY West 
55700 	All Call 
55701 	SCHOOLS CNTR 
55702 	SCHOOLS EAST 
55703 	SCHOOLS WEST 
55800 	TCAT ALLCALL 
55801 	TCAT CNTR 
55802 	TCAT EAST 
55803 	TCAT WEST 
55901 	CountyHealth 
55902 	IthacaHealth 
55950 	EmrgAllCall 
55951 	Local Gov 
55952 	Dryden DPW 
55953 	Lansing 
55954 	Groton 
55955 	Ithaca 
55956 	Danby DPW 
55957 	Ulyssess 
55958 	Enfield 
55959 	Newfield 
56001 	Ithaca Dctvs 
56024 	Ithaca Dctvs 
56025 	MIDSTATE 
